"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
2;"G***";"Logo-Back-SolderedVERTICAL-10mm";1;"LOGO";;;
3;"";"Version1.0.0.";1;"";;;
4;"G***";"Logo-Front-easyC-5mm";1;"LOGO";;;
5;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";41;"";;;
6;"REF**";"Logo-Front-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
7;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
8;"K3";"easyC-connector";1;"easyC-SMD";;;
9;"K5,K1,K6,K2";"HEADER_MALE_10X1";4;"HEADER_MALE_10X1";;;
10;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
11;"K4";"RASPBERRY_PI4_HEADER";1;"RASPBERRY_PI4_HEADER";;;
